,IBRA Region Name,IBRA Region Code,Jurisdiction(s),IBRA Area (ha),1 Area Protected (ha),% IBRA Region Protected,2 Contribution to NRS (%),total_ce
50,Mulga Lands,MUL,"NSW, QLD"," 25,188,333 "," 1,201,890 ",4.77,0.79,2
51,Murchison,MUR,WA," 28,120,554 "," 1,898,459 ",6.75,1.25,1
52,Murray Darling Depression,MDD,"NSW, SA, VIC"," 19,958,349 "," 3,394,454 ",17.01,2.24,14
53,Nandewar,NAN,"NSW, QLD"," 2,701,977 "," 95,448 ",3.53,0.06,4
54,Naracoorte Coastal Plain,NCP,"SA, VIC"," 2,458,215 "," 236,446 ",9.62,0.16,7
55,New England Tablelands,NET,"NSW, QLD"," 3,002,213 "," 302,742 ",10.08,0.2,2
56,Northern Kimberley,NOK,WA," 8,420,100 "," 5,418,828 ",64.36,3.58,3
57,NSW North Coast,NNC,NSW," 3,996,591 "," 1,001,600 ",25.06,0.66,7
58,NSW South Western Slopes,NSS,"NSW, VIC"," 8,681,126 "," 254,384 ",2.93,0.17,9
59,Nullarbor,NUL,"SA, WA"," 19,722,774 "," 6,234,420 ",31.61,4.11,0
60,Ord Victoria Plain,OVP,"NT, WA"," 12,540,703 "," 1,487,816 ",11.86,0.98,0
61,Pacific Subtropical Islands,PSI,"EXT, NSW"," 5,817 "," 1,958 ",33.66,0.0,22
62,Pilbara,PIL,WA," 17,823,126 "," 1,504,363 ",8.44,0.99,3
63,Pine Creek,PCK,NT," 2,851,777 "," 1,217,020 ",42.68,0.8,2
64,Riverina,RIV,"NSW, SA, VIC"," 9,704,469 "," 542,407 ",5.59,0.36,8
65,Simpson Strzelecki Dunefields,SSD,"NSW, NT, QLD, SA"," 27,984,283 "," 8,633,963 ",30.85,5.7,2
66,South East Coastal Plain,SCP,VIC," 1,749,237 "," 153,645 ",8.78,0.1,12
67,South East Corner,SEC,"NSW, VIC"," 2,532,053 "," 925,295 ",36.54,0.61,4
68,South Eastern Highlands,SEH,"ACT, NSW, VIC"," 8,375,961 "," 1,541,857 ",18.41,1.02,23
69,South Eastern Queensland,SEQ,"NSW, QLD"," 7,804,921 "," 1,108,887 ",14.21,0.73,13
70,Southern Volcanic Plain,SVP,"SA, VIC"," 2,440,340 "," 51,899 ",2.13,0.03,11
71,Stony Plains,STP,SA," 13,166,372 "," 944,470 ",7.17,0.62,1
72,Sturt Plateau,STU,NT," 9,857,531 "," 68,870 ",0.7,0.05,0
73,Subantarctic Islands,SAI,-," 49,164 ", - ,0.0,0.0,4
74,Swan Coastal Plain,SWA,WA," 1,525,798 "," 174,101 ",11.41,0.11,16
75,Sydney Basin,SYB,"JBT, NSW"," 3,629,597 "," 1,456,871 ",40.14,0.96,16
76,Tanami,TAN,"NT, WA"," 25,997,277 "," 11,506,923 ",44.26,7.59,0
77,Tasmanian Central Highlands,TCH,TAS," 767,849 "," 454,102 ",59.14,0.3,1
78,Tasmanian Northern Midlands,TNM,TAS," 415,445 "," 26,752 ",6.44,0.02,8
79,Tasmanian Northern Slopes,TNS,TAS," 623,103 "," 89,236 ",14.32,0.06,5
80,Tasmanian South East,TSE,TAS," 1,131,822 "," 183,341 ",16.2,0.12,19
81,Tasmanian Southern Ranges,TSR,TAS," 757,228 "," 416,130 ",54.95,0.27,9
82,Tasmanian West,TWE,TAS," 1,565,077 "," 1,349,517 ",86.23,0.89,4
83,Tiwi Cobourg,TIW,NT," 1,010,580 "," 204,361 ",20.22,0.13,2
84,Victoria Bonaparte,VIB,"NT, WA"," 7,301,242 "," 1,487,432 ",20.37,0.98,3
85,Victorian Midlands,VIM,VIC," 3,469,789 "," 396,688 ",11.43,0.26,9
86,Warren,WAR,WA," 844,771 "," 396,339 ",46.92,0.26,7
87,Wet Tropics,WET,QLD," 1,989,107 "," 1,052,512 ",52.91,0.69,10
88,Yalgoo,YAL,WA," 5,087,577 "," 1,712,273 ",33.66,1.13,6
